"Station","time.code","evi.500.wa"
"BC1024","T1",0.413
"BC1024","T10",0.6141
"BC1024","T11",0.6052
"BC1024","T12",0.6096
"BC1024","T13",0.599
"BC1024","T14",0.5738
"BC1024","T15",0.5401
"BC1024","T16",0.5936
"BC1024","T17",0.5728
"BC1024","T18",0.6054
"BC1024","T19",0.5938
"BC1024","T2",0.3754
"BC1024","T20",0.5852
"BC1024","T21",0.4946
"BC1024","T22",0.4671
"BC1024","T23",0.2324
"BC1024","T24",0.413
"BC1024","T3",0.3264
"BC1024","T4",0.3536
"BC1024","T5",0.4079
"BC1024","T6",0.4316
"BC1024","T7",0.4366
"BC1024","T8",0.5136
"BC1024","T9",0.5628
"BC1046","T1",0.3994
"BC1046","T10",0.7084
"BC1046","T11",0.7016
"BC1046","T12",0.7233
"BC1046","T13",0.6373
"BC1046","T14",0.7134
"BC1046","T15",0.723
"BC1046","T16",0.6908
"BC1046","T17",0.7211
"BC1046","T18",0.6801
"BC1046","T19",0.6673
"BC1046","T2",0.3876
"BC1046","T20",0.6281
"BC1046","T21",0.4883
"BC1046","T22",0.4396
"BC1046","T23",0.4019
"BC1046","T24",0.3994
"BC1046","T3",0.3486
"BC1046","T4",0.3738
"BC1046","T5",0.4023
"BC1046","T6",0.4075
"BC1046","T7",0.4571
"BC1046","T8",0.5377
"BC1046","T9",0.6239
"BC1078","T1",0.3724
"BC1078","T10",0.6252
"BC1078","T11",0.5679
"BC1078","T12",0.5996
"BC1078","T13",0.578
"BC1078","T14",0.5674
"BC1078","T15",0.5843
"BC1078","T16",0.572
"BC1078","T17",0.568
"BC1078","T18",0.6036
"BC1078","T19",0.5552
"BC1078","T2",0.3383
"BC1078","T20",0.5225
"BC1078","T21",0.4121
"BC1078","T22",0.3905
"BC1078","T23",0.3503
"BC1078","T24",0.3724
"BC1078","T3",0.3004
"BC1078","T4",0.3311
"BC1078","T5",0.3389
"BC1078","T6",0.3853
"BC1078","T7",0.4102
"BC1078","T8",0.5163
"BC1078","T9",0.5107
"BC1122","T1",0.452
"BC1122","T10",0.7973
"BC1122","T11",0.7796
"BC1122","T12",0.7846
"BC1122","T13",0.7693
"BC1122","T14",0.7697
"BC1122","T15",0.7898
"BC1122","T16",0.7697
"BC1122","T17",0.7487
"BC1122","T18",0.7632
"BC1122","T19",0.7507
"BC1122","T2",0.4218
"BC1122","T20",0.6712
"BC1122","T21",0.5124
"BC1122","T22",0.5047
"BC1122","T23",0.438
"BC1122","T24",0.452
"BC1122","T3",0.4075
"BC1122","T4",0.4308
"BC1122","T5",0.4524
"BC1122","T6",0.4886
"BC1122","T7",0.5139
"BC1122","T8",0.6264
"BC1122","T9",0.7145
"BC1142","T1",0.3134
"BC1142","T10",0.6121
"BC1142","T11",0.6216
"BC1142","T12",0.5169
"BC1142","T13",0.6004
"BC1142","T14",0.5845
"BC1142","T15",0.5546
"BC1142","T16",0.6006
"BC1142","T17",0.6328
"BC1142","T18",0.6416
"BC1142","T19",0.6039
"BC1142","T2",0.4041
"BC1142","T20",0.6359
"BC1142","T21",0.5166
"BC1142","T22",0.4563
"BC1142","T23",0.3244
"BC1142","T24",0.3665
"BC1142","T3",0.3799
"BC1142","T4",0.3667
"BC1142","T5",0.3892
"BC1142","T6",0.4411
"BC1142","T7",0.4226
"BC1142","T8",0.5023
"BC1142","T9",0.5455
"BC1186","T1",0.423
"BC1186","T10",0.7042
"BC1186","T11",0.6716
"BC1186","T12",0.6768
"BC1186","T13",0.6538
"BC1186","T14",0.628
"BC1186","T15",0.6191
"BC1186","T16",0.6618
"BC1186","T17",0.652
"BC1186","T18",0.6594
"BC1186","T19",0.6549
"BC1186","T2",0.4303
"BC1186","T20",0.6058
"BC1186","T21",0.5086
"BC1186","T22",0.4925
"BC1186","T23",0.3332
"BC1186","T24",0.423
"BC1186","T3",0.3755
"BC1186","T4",0.4106
"BC1186","T5",0.4221
"BC1186","T6",0.441
"BC1186","T7",0.5056
"BC1186","T8",0.5719
"BC1186","T9",0.6172
"BE1004","T1",0.3937
"BE1004","T10",0.8339
"BE1004","T11",0.8399
"BE1004","T12",0.8477
"BE1004","T13",0.8135
"BE1004","T14",0.8439
"BE1004","T15",0.8591
"BE1004","T16",0.8314
"BE1004","T17",0.8325
"BE1004","T18",0.82
"BE1004","T19",0.7944
"BE1004","T2",0.4712
"BE1004","T20",0.6473
"BE1004","T21",0.5125
"BE1004","T22",0.4953
"BE1004","T23",0.2769
"BE1004","T24",0.305
"BE1004","T3",0.4313
"BE1004","T4",0.4502
"BE1004","T5",0.4579
"BE1004","T6",0.4579
"BE1004","T7",0.4855
"BE1004","T8",0.5749
"BE1004","T9",0.7482
"BE1011","T1",0.0707
"BE1011","T10",0.6835
"BE1011","T11",0.6957
"BE1011","T12",0.755
"BE1011","T13",0.5277
"BE1011","T14",0.6737
"BE1011","T15",0.6588
"BE1011","T16",0.6853
"BE1011","T17",0.6758
"BE1011","T18",0.6668
"BE1011","T19",0.6689
"BE1011","T2",0.3971
"BE1011","T20",0.6238
"BE1011","T21",0.4831
"BE1011","T22",0.4751
"BE1011","T23",0.2619
"BE1011","T24",0.3133
"BE1011","T3",0.3559
"BE1011","T4",0.403
"BE1011","T5",0.4272
"BE1011","T6",0.4047
"BE1011","T7",0.4915
"BE1011","T8",0.5449
"BE1011","T9",0.6444
"BE1015","T1",0.4255
"BE1015","T10",0.8291
"BE1015","T11",0.8319
"BE1015","T12",0.8411
"BE1015","T13",0.8099
"BE1015","T14",0.8306
"BE1015","T15",0.8468
"BE1015","T16",0.8081
"BE1015","T17",0.7755
"BE1015","T18",0.7961
"BE1015","T19",0.7816
"BE1015","T2",0.4534
"BE1015","T20",0.6399
"BE1015","T21",0.5191
"BE1015","T22",0.503
"BE1015","T23",0.3065
"BE1015","T24",0.2906
"BE1015","T3",0.4191
"BE1015","T4",0.4269
"BE1015","T5",0.4421
"BE1015","T6",0.4166
"BE1015","T7",0.4869
"BE1015","T8",0.5772
"BE1015","T9",0.7286
"BE1020","T1",0.3676
"BE1020","T10",0.751
"BE1020","T11",0.7438
"BE1020","T12",0.7591
"BE1020","T13",0.7549
"BE1020","T14",0.7227
"BE1020","T15",0.7665
"BE1020","T16",0.7313
"BE1020","T17",0.7121
"BE1020","T18",0.7196
"BE1020","T19",0.7292
"BE1020","T2",0.4203
"BE1020","T20",0.656
"BE1020","T21",0.4978
"BE1020","T22",0.4805
"BE1020","T23",0.223
"BE1020","T24",0.404
"BE1020","T3",0.3921
"BE1020","T4",0.41
"BE1020","T5",0.4289
"BE1020","T6",0.4489
"BE1020","T7",0.4462
"BE1020","T8",0.5377
"BE1020","T9",0.6452
"BE1031","T1",0.4365
"BE1031","T10",0.8479
"BE1031","T11",0.8485
"BE1031","T12",0.8624
"BE1031","T13",0.8359
"BE1031","T14",0.8627
"BE1031","T15",0.8678
"BE1031","T16",0.8448
"BE1031","T17",0.7687
"BE1031","T18",0.8359
"BE1031","T19",0.8033
"BE1031","T2",0.448
"BE1031","T20",0.6454
"BE1031","T21",0.514
"BE1031","T22",0.5022
"BE1031","T23",0.2418
"BE1031","T24",0.4365
"BE1031","T3",0.4281
"BE1031","T4",0.476
"BE1031","T5",0.4511
"BE1031","T6",0.4324
"BE1031","T7",0.5033
"BE1031","T8",0.5907
"BE1031","T9",0.7644
"BE1047","T1",0.3974
"BE1047","T10",0.8506
"BE1047","T11",0.8549
"BE1047","T12",0.8556
"BE1047","T13",0.8496
"BE1047","T14",0.8756
"BE1047","T15",0.8759
"BE1047","T16",0.8551
"BE1047","T17",0.8527
"BE1047","T18",0.8436
"BE1047","T19",0.8098
"BE1047","T2",0.4779
"BE1047","T20",0.7167
"BE1047","T21",0.5281
"BE1047","T22",0.4984
"BE1047","T23",0.2891
"BE1047","T24",0.3854
"BE1047","T3",0.4388
"BE1047","T4",0.4672
"BE1047","T5",0.4667
"BE1047","T6",0.4592
"BE1047","T7",0.47
"BE1047","T8",0.5585
"BE1047","T9",0.7391
"BE1059","T1",0.3039
"BE1059","T10",0.7909
"BE1059","T11",0.7819
"BE1059","T12",0.7534
