FID,camera_id,Subcl_Veg,SUM_Shape_
0,BC1024,"1.B Temperate & Boreal Forest & Woodland,Tree",143951.9209
1,BC1024,"7.C Herbaceous & Woody Developed Vegetation,Herb",63140.24833
2,BC1024,"7.C Herbaceous & Woody Developed Vegetation,Shrub",7278.091395
3,BC1024,"7.C Herbaceous & Woody Developed Vegetation,Tree",53984.05441
4,BC1024,"Developed-High Intensity,Developed",14552.65144
5,BC1024,"Developed-Low Intensity,Developed",254004.8441
6,BC1024,"Developed-Medium Intensity,Developed",42455.26923
7,BC1024,"Developed-Roads,Developed",193175.4061
8,BC1046,"1.B Temperate & Boreal Forest & Woodland,Shrub",1255.682373
9,BC1046,"1.B Temperate & Boreal Forest & Woodland,Tree",180466.8194
10,BC1046,"2.B Temperate & Boreal Grassland & Shrubland,Herb",900
11,BC1046,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",900
12,BC1046,"2.C Shrub & Herb Wetland,Herb",119285.3478
13,BC1046,"2.C Shrub & Herb Wetland,Shrub",900
14,BC1046,"7.C Herbaceous & Woody Developed Vegetation,Herb",80491.38809
15,BC1046,"7.C Herbaceous & Woody Developed Vegetation,Shrub",12507.40389
16,BC1046,"7.C Herbaceous & Woody Developed Vegetation,Tree",162569.6077
17,BC1046,"Developed-High Intensity,Developed",922.3294434
18,BC1046,"Developed-Low Intensity,Developed",126842.5634
19,BC1046,"Developed-Medium Intensity,Developed",14314.88492
20,BC1046,"Developed-Roads,Developed",70930.42255
21,BC1046,"Open Water,Water",256.0363179
22,BC1078,"1.B Temperate & Boreal Forest & Woodland,Shrub",1476.342773
23,BC1078,"1.B Temperate & Boreal Forest & Woodland,Tree",24861.55634
24,BC1078,"2.C Shrub & Herb Wetland,Herb",46940.04743
25,BC1078,"2.C Shrub & Herb Wetland,Shrub",900
26,BC1078,"7.B Herbaceous Agricultural Vegetation,Agriculture",3276.342774
27,BC1078,"7.B Herbaceous Agricultural Vegetation,Herb",53910.34334
28,BC1078,"7.C Herbaceous & Woody Developed Vegetation,Herb",70109.41852
29,BC1078,"7.C Herbaceous & Woody Developed Vegetation,Shrub",5976.342773
30,BC1078,"7.C Herbaceous & Woody Developed Vegetation,Tree",193187.2731
31,BC1078,"Developed-High Intensity,Developed",38003.4558
32,BC1078,"Developed-Low Intensity,Developed",108644.4855
33,BC1078,"Developed-Medium Intensity,Developed",148128.7941
34,BC1078,"Developed-Roads,Developed",77128.0835
35,BC1122,"1.B Temperate & Boreal Forest & Woodland,Tree",297071.4541
36,BC1122,"2.B Temperate & Boreal Grassland & Shrubland,Herb",900
37,BC1122,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",2245.110942
38,BC1122,"2.C Shrub & Herb Wetland,Herb",1966.030793
39,BC1122,"7.C Herbaceous & Woody Developed Vegetation,Herb",85084.15028
40,BC1122,"7.C Herbaceous & Woody Developed Vegetation,Shrub",19247.44072
41,BC1122,"7.C Herbaceous & Woody Developed Vegetation,Tree",208262.1907
42,BC1122,"Developed-High Intensity,Developed",1255.682373
43,BC1122,"Developed-Low Intensity,Developed",87906.50816
44,BC1122,"Developed-Medium Intensity,Developed",18849.36262
45,BC1122,"Developed-Roads,Developed",49754.55521
46,BC1142,"1.B Temperate & Boreal Forest & Woodland,Tree",88256.14946
47,BC1142,"7.C Herbaceous & Woody Developed Vegetation,Herb",75527.08553
48,BC1142,"7.C Herbaceous & Woody Developed Vegetation,Shrub",11784.38549
49,BC1142,"7.C Herbaceous & Woody Developed Vegetation,Tree",90814.12709
50,BC1142,"Developed-High Intensity,Developed",10174.14122
51,BC1142,"Developed-Low Intensity,Developed",220113.2936
52,BC1142,"Developed-Medium Intensity,Developed",84394.9383
53,BC1142,"Developed-Roads,Developed",191478.3653
54,BC1186,"1.B Temperate & Boreal Forest & Woodland,Tree",116921.9671
55,BC1186,"7.C Herbaceous & Woody Developed Vegetation,Herb",80473.33259
56,BC1186,"7.C Herbaceous & Woody Developed Vegetation,Shrub",18073.48811
57,BC1186,"7.C Herbaceous & Woody Developed Vegetation,Tree",147523.9493
58,BC1186,"Developed-High Intensity,Developed",9000.204295
59,BC1186,"Developed-Low Intensity,Developed",158317.0302
60,BC1186,"Developed-Medium Intensity,Developed",59707.09026
61,BC1186,"Developed-Roads,Developed",182525.424
62,BE1004,"1.B Temperate & Boreal Forest & Woodland,Tree",612797.1047
63,BE1004,"2.B Temperate & Boreal Grassland & Shrubland,Herb",2938.373855
64,BE1004,"7.C Herbaceous & Woody Developed Vegetation,Herb",8764.501426
65,BE1004,"7.C Herbaceous & Woody Developed Vegetation,Tree",13065.21856
66,BE1004,"Developed-Low Intensity,Developed",29828.89623
67,BE1004,"Developed-Roads,Developed",35657.66085
68,BE1004,"Open Water,Water",69490.73035
69,BE1011,"1.B Temperate & Boreal Forest & Woodland,Tree",35204.31293
70,BE1011,"2.B Temperate & Boreal Grassland & Shrubland,Herb",2052.685547
71,BE1011,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",1255.737305
72,BE1011,"7.C Herbaceous & Woody Developed Vegetation,Herb",125801.5278
73,BE1011,"7.C Herbaceous & Woody Developed Vegetation,Shrub",8.995423197
74,BE1011,"7.C Herbaceous & Woody Developed Vegetation,Tree",257908.7106
75,BE1011,"Developed-High Intensity,Developed",3842.163289
76,BE1011,"Developed-Low Intensity,Developed",164404.686
77,BE1011,"Developed-Medium Intensity,Developed",25203.09535
78,BE1011,"Developed-Roads,Developed",156860.5717
79,BE1015,"1.B Temperate & Boreal Forest & Woodland,Tree",503539.138
80,BE1015,"2.B Temperate & Boreal Grassland & Shrubland,Herb",10380.26106
81,BE1015,"7.B Herbaceous Agricultural Vegetation,Herb",65627.38733
82,BE1015,"7.C Herbaceous & Woody Developed Vegetation,Herb",12630.70769
83,BE1015,"7.C Herbaceous & Woody Developed Vegetation,Shrub",1093.729194
84,BE1015,"7.C Herbaceous & Woody Developed Vegetation,Tree",37703.25156
85,BE1015,"Developed-Low Intensity,Developed",44055.00512
86,BE1015,"Developed-Medium Intensity,Developed",900
87,BE1015,"Developed-Roads,Developed",47012.77057
88,BE1015,"Open Water,Water",49600.23546
89,BE1020,"1.B Temperate & Boreal Forest & Woodland,Tree",286275.4935
90,BE1020,"7.C Herbaceous & Woody Developed Vegetation,Herb",56385.38732
91,BE1020,"7.C Herbaceous & Woody Developed Vegetation,Shrub",17041.63875
92,BE1020,"7.C Herbaceous & Woody Developed Vegetation,Tree",94555.02833
93,BE1020,"Developed-High Intensity,Developed",15504.833
94,BE1020,"Developed-Low Intensity,Developed",99501.55046
95,BE1020,"Developed-Medium Intensity,Developed",73375.86648
96,BE1020,"Developed-Roads,Developed",85563.40893
97,BE1020,"Open Water,Water",44339.27919
98,BE1031,"1.B Temperate & Boreal Forest & Woodland,Tree",620567.2011
99,BE1031,"7.C Herbaceous & Woody Developed Vegetation,Herb",17119.84556
100,BE1031,"7.C Herbaceous & Woody Developed Vegetation,Shrub",1471.086959
101,BE1031,"7.C Herbaceous & Woody Developed Vegetation,Tree",39812.27201
102,BE1031,"Developed-Low Intensity,Developed",18129.17112
103,BE1031,"Developed-Medium Intensity,Developed",2466.047273
104,BE1031,"Developed-Roads,Developed",42730.46721
105,BE1031,"Open Water,Water",30246.39475
106,BE1047,"1.B Temperate & Boreal Forest & Woodland,Tree",572346.6707
107,BE1047,"7.A Woody Agricultural Vegetation,Tree",2700
108,BE1047,"7.C Herbaceous & Woody Developed Vegetation,Herb",11653.44685
109,BE1047,"7.C Herbaceous & Woody Developed Vegetation,Shrub",3645.052552
110,BE1047,"7.C Herbaceous & Woody Developed Vegetation,Tree",99366.84492
111,BE1047,"Developed-Low Intensity,Developed",10094.94394
112,BE1047,"Developed-Roads,Developed",72735.52696
113,BE1059,"1.B Temperate & Boreal Forest & Woodland,Tree",468708.958
114,BE1059,"2.B Temperate & Boreal Grassland & Shrubland,Herb",2980.728149
115,BE1059,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",2132.42577
116,BE1059,"7.B Herbaceous Agricultural Vegetation,Herb",6300
117,BE1059,"7.C Herbaceous & Woody Developed Vegetation,Herb",70468.36422
118,BE1059,"7.C Herbaceous & Woody Developed Vegetation,Shrub",2700
119,BE1059,"7.C Herbaceous & Woody Developed Vegetation,Tree",98440.42746
120,BE1059,"Developed-High Intensity,Developed",4197.545849
121,BE1059,"Developed-Low Intensity,Developed",69244.89176
122,BE1059,"Developed-Medium Intensity,Developed",19927.35084
123,BE1059,"Developed-Roads,Developed",27441.79384
124,BE1063,"1.B Temperate & Boreal Forest & Woodland,Tree",90899.78951
