"Station","time.code","Deer.det","Coyote.det","start.date","end.date","days.available","days.inactive","days.active","Reservation","X","season","phase"
"BC1024","T1",12,0,2017-01-01,2017-01-16,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1024","T10",18,0,2017-05-25,2017-06-09,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1024","T11",13,1,2017-06-10,2017-06-25,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1024","T12",0,0,2017-06-26,2017-06-30,5,0,5,"Big_Creek",NA,"summer","fawning"
"BC1024","T13",6,0,2016-07-01,2016-07-10,10,0,10,"Big_Creek",NA,"summer","summer.forage"
"BC1024","T14",11,0,2016-07-11,2016-07-26,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1024","T15",14,0,2016-07-27,2016-08-11,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1024","T16",17,0,2016-08-12,2016-08-27,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1024","T17",21,0,2016-08-28,2016-09-12,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1024","T18",20,0,2016-09-13,2016-09-28,16,0,16,"Big_Creek",NA,"autumn","summer.forage"
"BC1024","T19",37,0,2016-09-29,2016-10-14,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1024","T2",10,0,2017-01-17,2017-02-01,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1024","T20",39,0,2016-10-15,2016-10-30,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1024","T21",84,0,2016-10-31,2016-11-15,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1024","T22",57,1,2016-11-16,2016-12-01,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1024","T23",27,0,2016-12-02,2016-12-17,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1024","T24",19,0,2016-12-18,2016-12-31,14,0,14,"Big_Creek",NA,"winter","rut"
"BC1024","T3",2,0,2017-02-02,2017-02-17,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1024","T4",6,0,2017-02-18,2017-03-05,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1024","T5",10,1,2017-03-06,2017-03-21,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1024","T6",4,0,2017-03-22,2017-04-06,16,0,16,"Big_Creek",NA,"spring","winter.forage"
"BC1024","T7",2,0,2017-04-07,2017-04-22,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1024","T8",15,0,2017-04-23,2017-05-08,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1024","T9",30,2,2017-05-09,2017-05-24,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1046","T1",22,21,2017-01-01,2017-01-16,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1046","T10",35,1,2017-05-25,2017-06-09,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1046","T11",37,1,2017-06-10,2017-06-25,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1046","T12",3,0,2017-06-26,2017-06-30,5,0,5,"Big_Creek",NA,"summer","fawning"
"BC1046","T13",36,1,2016-07-01,2016-07-10,10,0,10,"Big_Creek",NA,"summer","summer.forage"
"BC1046","T14",52,4,2016-07-11,2016-07-26,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1046","T15",39,0,2016-07-27,2016-08-11,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1046","T16",42,0,2016-08-12,2016-08-27,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1046","T17",16,0,2016-08-28,2016-09-12,16,0,16,"Big_Creek",NA,"summer","summer.forage"
"BC1046","T18",19,3,2016-09-13,2016-09-28,16,0,16,"Big_Creek",NA,"autumn","summer.forage"
"BC1046","T19",32,0,2016-09-29,2016-10-14,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1046","T2",60,17,2017-01-17,2017-02-01,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1046","T20",27,0,2016-10-15,2016-10-30,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1046","T21",62,4,2016-10-31,2016-11-15,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1046","T22",58,0,2016-11-16,2016-12-01,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1046","T23",46,12,2016-12-02,2016-12-17,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1046","T24",27,12,2016-12-18,2016-12-31,14,0,14,"Big_Creek",NA,"winter","rut"
"BC1046","T3",32,12,2017-02-02,2017-02-17,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1046","T4",36,13,2017-02-18,2017-03-05,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1046","T5",50,3,2017-03-06,2017-03-21,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1046","T6",31,1,2017-03-22,2017-04-06,16,0,16,"Big_Creek",NA,"spring","winter.forage"
"BC1046","T7",12,1,2017-04-07,2017-04-22,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1046","T8",32,3,2017-04-23,2017-05-08,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1046","T9",19,1,2017-05-09,2017-05-24,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1078","T1",16,4,2017-01-01,2017-01-16,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1078","T10",21,20,2017-05-25,2017-06-09,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1078","T11",12,2,2017-06-10,2017-06-25,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1078","T12",1,0,2017-06-26,2017-06-30,5,0,5,"Big_Creek",NA,"summer","fawning"
