"Covariate","Estimate","Std. Error","z value","Pr(>|z|)","Model","Significance"
"Cond.(intercept)",-1.03626445406184,0.0656869683446258,-15.7757996780288,4.56578532588448e-56,"Fawning","p < 0.05"
"Coyote",0.0668422581654015,0.0295161603137296,2.26459869627113,0.0235373170040746,"Fawning","p < 0.05"
"EVI",-0.0357105431131473,0.0271244141247875,-1.31654615465089,0.187990797784063,"Fawning","p > 0.05"
"Temperate boreal grassland",0.0277824470054469,0.0746499902272932,0.372169466075686,0.709766678380786,"Fawning","p > 0.05"
"Herb. shrub wetland",0.218943169099597,0.0655531206026017,3.33993511044092,0.000837979672527625,"Fawning","p < 0.05"
"Woody ag.",-0.0161720924829194,0.0708024818417167,-0.228411378559768,0.819326444429056,"Fawning","p > 0.05"
"Herb. ag.",-0.028509781249241,0.0682406554864147,-0.417782933736864,0.676105829770608,"Fawning","p > 0.05"
"Herb. woody developed",0.216409205887325,0.0715543523805852,3.02440311018793,0.00249124253828901,"Fawning","p < 0.05"
"Developed low-med",0.287190646539446,0.0834466552041459,3.4416076454695,0.00057826833768703,"Fawning","p < 0.05"
"Developed high",-0.0472096479328199,0.0769695255597911,-0.61335505954427,0.539641594489271,"Fawning","p > 0.05"
