Station,Reservation,
BC1024,Big_Creek,
BC1046,Big_Creek,
BC1078,Big_Creek,
BC1122,Big_Creek,
BC1142,Big_Creek,
BC1186,Big_Creek,
BE1004,Bedford,
BE1011,Bedford,
BE1015,Bedford,
BE1020,Bedford,
BE1031,Bedford,
BE1047,Bedford,
BE1059,Bedford,
BE1063,Bedford,
BE1068,Bedford,
BE1079,Bedford,
BE1091,Bedford,
BE1095,Bedford,
BE1107,Bedford,
BE1111,Bedford,
BE1123,Bedford,
BE1127,Bedford,
BE1132,Bedford,
BE1139,Bedford,
BE1140,Bedford,
BE1143,Bedford,
BE1144,Bedford,
BE1155,Bedford,
BE1159,Bedford,
BE1171,Bedford,
BE1175,Bedford,
BE1187,Bedford,
BE1191,Bedford,
BE1196,Bedford,
BK1088,Brookside,
BK1152,Brookside,
BK1200,Brookside,
BR1013,Brecksville,
BR1023,Brecksville,
BR1025,Brecksville,
BR1029,Brecksville,
BR1041,Brecksville,
BR1043,Brecksville,
BR1045,Brecksville,
BR1057,Brecksville,
BR1061,Brecksville,
BR1077,Brecksville,
BR1089,Brecksville,
BR1093,Brecksville,
BR1105,Brecksville,
BR1109,Brecksville,
BR1121,Brecksville,
BR1125,Brecksville,
BR1137,Brecksville,
BR1141,Brecksville,
BR1153,Brecksville,
BR1157,Brecksville,
BR1169,Brecksville,
BR1173,Brecksville,
BR1185,Brecksville,
BR1189,Brecksville,
BW1006,Bradley_Woods,
BW1050,Bradley_Woods,
BW1070,Bradley_Woods,
BW1114,Bradley_Woods,
BW1134,Bradley_Woods,
BW1178,Bradley_Woods,
BW1198,Bradley_Woods,
EC1036,Euclid_Creek,
EC1148,Euclid_Creek,
GP1164,Garfield_Park,
HI1002,Hinckley,
HI1005,Hinckley,
HI1009,Hinckley,
HI1018,Hinckley,
HI1021,Hinckley,
HI1034,Hinckley,
HI1037,Hinckley,
HI1053,Hinckley,
HI1066,Hinckley,
HI1069,Hinckley,
HI1073,Hinckley,
HI1082,Hinckley,
HI1085,Hinckley,
HI1098,Hinckley,
HI1101,Hinckley,
HI1117,Hinckley,
HI1130,Hinckley,
HI1133,Hinckley,
HI1146,Hinckley,
HI1149,Hinckley,
HI1162,Hinckley,
HI1165,Hinckley,
HI1181,Hinckley,
HI1194,Hinckley,
HI1197,Hinckley,
HU1195,Huntington,
MS1003,Mill_Stream_Run,
MS1007,Mill_Stream_Run,
MS1014,Mill_Stream_Run,
MS1019,Mill_Stream_Run,
MS1035,Mill_Stream_Run,
MS1039,Mill_Stream_Run,
MS1051,Mill_Stream_Run,
MS1062,Mill_Stream_Run,
MS1067,Mill_Stream_Run,
MS1071,Mill_Stream_Run,
MS1083,Mill_Stream_Run,
MS1087,Mill_Stream_Run,
MS1099,Mill_Stream_Run,
MS1103,Mill_Stream_Run,
MS1115,Mill_Stream_Run,
MS1126,Mill_Stream_Run,
MS1131,Mill_Stream_Run,
MS1135,Mill_Stream_Run,
MS1147,Mill_Stream_Run,
MS1151,Mill_Stream_Run,
MS1163,Mill_Stream_Run,
MS1167,Mill_Stream_Run,
MS1179,Mill_Stream_Run,
MS1190,Mill_Stream_Run,
MS1199,Mill_Stream_Run,
NC1001,North_Chagrin,
NC1012,North_Chagrin,
NC1017,North_Chagrin,
NC1028,North_Chagrin,
NC1033,North_Chagrin,
NC1040,North_Chagrin,
NC1044,North_Chagrin,
NC1049,North_Chagrin,
NC1056,North_Chagrin,
NC1065,North_Chagrin,
NC1076,North_Chagrin,
NC1081,North_Chagrin,
NC1092,North_Chagrin,
NC1097,North_Chagrin,
NC1100,North_Chagrin,
NC1104,North_Chagrin,
NC1113,North_Chagrin,
NC1120,North_Chagrin,
NC1129,North_Chagrin,
NC1140,North_Chagrin,
NC1145,North_Chagrin,
NC1156,North_Chagrin,
NC1161,North_Chagrin,
NC1168,North_Chagrin,
NC1177,North_Chagrin,
NC1184,North_Chagrin,
NC1193,North_Chagrin,
OE1052,Ohio_Erie_Canal,
OE1116,Ohio_Erie_Canal,
OE1180,Ohio_Erie_Canal,
RR1010,Rocky_River,
RR1022,Rocky_River,
RR1026,Rocky_River,
RR1030,Rocky_River,
RR1038,Rocky_River,
RR1042,Rocky_River,
RR1054,Rocky_River,
RR1058,Rocky_River,
RR1074,Rocky_River,
RR1086,Rocky_River,
RR1090,Rocky_River,
RR1094,Rocky_River,
RR1102,Rocky_River,
RR1106,Rocky_River,
RR1110,Rocky_River,
RR1118,Rocky_River,
RR1138,Rocky_River,
RR1150,Rocky_River,
RR1154,Rocky_River,
RR1158,Rocky_River,
RR1166,Rocky_River,
RR1170,Rocky_River,
RR1174,Rocky_River,
RR1182,Rocky_River,
SC1016,South_Chagrin,
SC1027,South_Chagrin,
SC1032,South_Chagrin,
SC1048,South_Chagrin,
SC1055,South_Chagrin,
SC1060,South_Chagrin,
SC1064,South_Chagrin,
SC1075,South_Chagrin,
SC1080,South_Chagrin,
SC1108,South_Chagrin,
SC1112,South_Chagrin,
SC1119,South_Chagrin,
SC1124,South_Chagrin,
SC1128,South_Chagrin,
SC1144,South_Chagrin,
SC1160,South_Chagrin,
SC1172,South_Chagrin,
SC1176,South_Chagrin,
SC1183,South_Chagrin,
SC1188,South_Chagrin,
SC1192,South_Chagrin,
WA1084,Washington,
WA3980,Washington,
WC1008,West_Creek,
WC1072,West_Creek,
WC1136,West_Creek,
WC1376,West_Creek,
WC1388,West_Creek,
WC3420,West_Creek,
WC3484,West_Creek,
WC3596,West_Creek,
WC3668,West_Creek,
WC3732,West_Creek,
