"Covariate","Estimate","Std. Error","z value","Pr(>|z|)","Model","Significance"
"Cond.(intercept)",-0.617445947006841,0.0731424696242191,-8.44168853169801,3.12785913727774e-17,"Pre-rut/rut","p < 0.05"
"Coyote",-0.0278852867171186,0.030074747665981,-0.927199357641194,0.353823036297875,"Pre-rut/rut","p > 0.05"
"EVI",0.122235311963704,0.0231988219304166,5.2690310021061,1.37145802682343e-07,"Pre-rut/rut","p < 0.05"
"Temperate boreal grassland",0.0111371631695714,0.0841821602591375,0.132298376939816,0.894748291106748,"Pre-rut/rut","p > 0.05"
"Herb. shrub wetland",0.204415775402527,0.0752542761159588,2.71633435271564,0.00660092178318392,"Pre-rut/rut","p < 0.05"
"Woody ag.",-0.0415371471762372,0.0798944534665845,-0.519900260580792,0.60313309377822,"Pre-rut/rut","p > 0.05"
"Herb. ag.",0.000412703284093547,0.0773470115133272,0.00533573664992132,0.99574271830739,"Pre-rut/rut","p > 0.05"
"Herb. woody developed",0.179423077123928,0.0805134965548736,2.22848447529096,0.0258482254599782,"Pre-rut/rut","p < 0.05"
"Developed low-med",0.30822372396385,0.0926310328734598,3.3274348174969,0.000876494917294304,"Pre-rut/rut","p < 0.05"
"Developed high",-0.0445670758407601,0.0868683647376412,-0.513041496468376,0.607922293826181,"Pre-rut/rut","p > 0.05"
