time.code,season,phase
T1,winter,winter.forage
T2,winter,winter.forage
T3,winter,winter.forage
T4,winter,winter.forage
T5,winter,winter.forage
T6,spring,winter.forage
T7,spring,fawning
T8,spring,fawning
T9,spring,fawning
T10,spring,fawning
T11,spring,fawning
T12,summer,fawning
T13,summer,summer.forage
T14,summer,summer.forage
T15,summer,summer.forage
T16,summer,summer.forage
T17,summer,summer.forage
T18,autumn,summer.forage
T19,autumn,rut
T20,autumn,rut
T21,autumn,rut
T22,autumn,rut
T23,autumn,rut
T24,winter,rut
