"Covariate","Estimate","Std. Error","z value","Pr(>|z|)","Model","Significance"
"Cond.(intercept)",-0.966625767521694,0.0690291868407153,-14.0031457961714,1.49121068705918e-44,"Summer forage","p < 0.05"
"Coyote",0.0332102006098594,0.0271550814476023,1.22298291293808,0.22133615014102,"Summer forage","p > 0.05"
"EVI",0.0971835794443857,0.0781208635073164,1.24401568391885,0.213493790650975,"Summer forage","p > 0.05"
"Temperate boreal grassland",-0.0924393813539016,0.0803321093588688,-1.15071522572557,0.249849410579952,"Summer forage","p > 0.05"
"Herb. shrub wetland",0.185193607237657,0.0709548852618074,2.61001912066145,0.00905371620429682,"Summer forage","p < 0.05"
"Woody ag.",-0.0146770415382694,0.0760424358893596,-0.193011196532739,0.846950199400761,"Summer forage","p > 0.05"
"Herb. ag.",0.00348794051698456,0.0711541834568785,0.0490194721874414,0.960903778031279,"Summer forage","p > 0.05"
"Herb. woody developed",0.201198693418399,0.0757552302941569,2.65590498025214,0.00790958976668456,"Summer forage","p < 0.05"
"Developed low-med",0.37598674887179,0.109666098384362,3.42846836361421,0.000606997276075149,"Summer forage","p < 0.05"
"Developed high",0.0652176040422193,0.0813995640208215,0.80120335811058,0.423013927463199,"Summer forage","p > 0.05"
