"Covariate","Estimate","Std. Error","z value","Pr(>|z|)","Model","Significance"
"Cond.(intercept)",-1.36226092945943,0.0828359756585418,-16.4452813965131,9.06623087506328e-61,"Winter forage","p < 0.05"
"Coyote",0.0174834111578147,0.0274003633474445,0.638072237806484,0.523426657544922,"Winter forage","p > 0.05"
"EVI",-0.0214455843502766,0.0252511836439581,-0.849290261108531,0.395719798630797,"Winter forage","p > 0.05"
"Temperate boreal grassland",-0.107448659601468,0.0948823796501174,-1.13244060696717,0.257449241051864,"Winter forage","p > 0.05"
"Herb. shrub wetland",0.181156764352047,0.0742168236653996,2.44091238893189,0.0146502084423386,"Winter forage","p < 0.05"
"Woody ag.",-0.0065912931618591,0.0903995687664081,-0.0729128827914097,0.941875442246771,"Winter forage","p > 0.05"
"Herb. ag.",0.0477159263179936,0.087066703963796,0.548038735195889,0.583665305934504,"Winter forage","p > 0.05"
"Herb. woody developed",0.251130518116278,0.0910325356020922,2.75868969764813,0.00580336117639623,"Winter forage","p < 0.05"
"Developed low-med",0.20827864287712,0.10646267882012,1.95635358029107,0.0504235164276716,"Winter forage","p < 0.05"
"Developed high",-0.0171702808575419,0.0981964759121285,-0.17485638560906,0.861192481448873,"Winter forage","p > 0.05"
